Ticker,Date,Close
FTSE,10/15/2020 16:30:00,5832.52
FTSE,10/16/2020 16:30:00,5919.58
FTSE,10/19/2020 16:30:00,5884.65
FTSE,10/20/2020 16:30:00,5889.22
FTSE,10/21/2020 16:30:00,5776.5
FTSE,10/22/2020 16:30:00,5785.65
FTSE,10/23/2020 16:30:00,5860.28
FTSE,10/26/2020 16:30:00,5792.01
FTSE,10/27/2020 16:30:00,5728.99
FTSE,10/28/2020 16:30:00,5582.8
FTSE,10/29/2020 16:30:00,5581.75
FTSE,10/30/2020 16:30:00,5577.27
FTSE,11/2/2020 16:30:00,5654.97
FTSE,11/3/2020 16:30:00,5786.77
FTSE,11/4/2020 16:30:00,5883.26
FTSE,11/5/2020 16:30:00,5906.18
FTSE,11/6/2020 16:30:00,5910.02
FTSE,11/9/2020 16:30:00,6186.29
FTSE,11/10/2020 16:30:00,6296.85
FTSE,11/11/2020 16:30:00,6382.1
FTSE,11/12/2020 16:30:00,6338.94
FTSE,11/13/2020 16:30:00,6316.39
FTSE,11/16/2020 16:30:00,6421.29
FTSE,11/17/2020 16:30:00,6365.33
FTSE,11/18/2020 16:30:00,6385.24
FTSE,11/19/2020 16:30:00,6334.35
FTSE,11/20/2020 16:30:00,6351.45
FTSE,11/23/2020 16:30:00,6333.84
FTSE,11/24/2020 16:30:00,6432.17
FTSE,11/25/2020 16:30:00,6391.09
FTSE,11/26/2020 16:30:00,6362.93
FTSE,11/27/2020 16:30:00,6367.58
FTSE,11/30/2020 16:30:00,6266.19
FTSE,12/1/2020 16:30:00,6384.73
FTSE,12/2/2020 16:30:00,6463.39
FTSE,12/3/2020 16:30:00,6490.27
FTSE,12/4/2020 16:30:00,6550.23
FTSE,12/7/2020 16:30:00,6555.39
FTSE,12/8/2020 16:30:00,6558.82
FTSE,12/9/2020 16:30:00,6564.29
FTSE,12/10/2020 16:30:00,6599.76
FTSE,12/11/2020 16:30:00,6546.75
FTSE,12/14/2020 16:30:00,6531.83
FTSE,12/15/2020 16:30:00,6513.32
FTSE,12/16/2020 16:30:00,6570.91
FTSE,12/17/2020 16:30:00,6551.06
FTSE,12/18/2020 16:30:00,6529.18
FTSE,12/21/2020 16:30:00,6416.32
FTSE,12/22/2020 16:30:00,6453.16
FTSE,12/23/2020 16:30:00,6495.75
FTSE,12/24/2020 12:30:00,6502.11
FTSE,12/29/2020 16:30:00,6602.65
FTSE,12/30/2020 16:30:00,6555.82
FTSE,12/31/2020 12:30:00,6460.52
FTSE,1/4/2021 16:30:00,6571.88
FTSE,1/5/2021 16:30:00,6612.25
FTSE,1/6/2021 16:30:00,6841.86
FTSE,1/7/2021 16:30:00,6856.96
FTSE,1/8/2021 16:30:00,6873.26
FTSE,1/11/2021 16:30:00,6798.48
FTSE,1/12/2021 16:30:00,6754.11
FTSE,1/13/2021 16:30:00,6745.52
FTSE,1/14/2021 16:30:00,6801.96
CAC,10/15/2020 17:30:00,4837.42
CAC,10/16/2020 17:30:00,4935.86
CAC,10/19/2020 17:30:00,4929.27
CAC,10/20/2020 17:30:00,4929.28
CAC,10/21/2020 17:30:00,4853.95
CAC,10/22/2020 17:30:00,4851.38
CAC,10/23/2020 17:30:00,4909.64
CAC,10/26/2020 17:30:00,4816.12
CAC,10/27/2020 17:30:00,4730.66
CAC,10/28/2020 17:30:00,4571.12
CAC,10/29/2020 17:30:00,4569.67
CAC,10/30/2020 17:30:00,4594.24
CAC,11/2/2020 17:30:00,4691.14
CAC,11/3/2020 17:30:00,4805.61
CAC,11/4/2020 17:30:00,4922.85
CAC,11/5/2020 17:30:00,4983.99
CAC,11/6/2020 17:30:00,4960.88
CAC,11/9/2020 17:30:00,5336.32
CAC,11/10/2020 17:30:00,5418.97
CAC,11/11/2020 17:30:00,5445.21
CAC,11/12/2020 17:30:00,5362.57
CAC,11/13/2020 17:30:00,5380.16
CAC,11/16/2020 17:30:00,5471.48
CAC,11/17/2020 17:30:00,5483
CAC,11/18/2020 17:30:00,5511.45
CAC,11/19/2020 17:30:00,5474.66
CAC,11/20/2020 17:30:00,5495.89
CAC,11/23/2020 17:30:00,5492.15
CAC,11/24/2020 17:30:00,5558.42
CAC,11/25/2020 17:30:00,5571.29
CAC,11/26/2020 17:30:00,5566.79
CAC,11/27/2020 17:30:00,5598.18
CAC,11/30/2020 17:30:00,5518.55
CAC,12/1/2020 17:30:00,5581.64
CAC,12/2/2020 17:30:00,5583.01
CAC,12/3/2020 17:30:00,5574.36
CAC,12/4/2020 17:30:00,5609.15
CAC,12/7/2020 17:30:00,5573.38
CAC,12/8/2020 17:30:00,5560.67
CAC,12/9/2020 17:30:00,5546.82
CAC,12/10/2020 17:30:00,5549.65
CAC,12/11/2020 17:30:00,5507.55
CAC,12/14/2020 17:30:00,5527.84
CAC,12/15/2020 17:30:00,5530.31
CAC,12/16/2020 17:30:00,5547.68
CAC,12/17/2020 17:30:00,5549.46
CAC,12/18/2020 17:30:00,5527.84
CAC,12/21/2020 17:30:00,5393.34
CAC,12/22/2020 17:30:00,5466.86
CAC,12/23/2020 17:30:00,5527.59
CAC,12/24/2020 17:30:00,5522.01
CAC,12/28/2020 17:30:00,5588.38
CAC,12/29/2020 17:30:00,5611.79
CAC,12/30/2020 17:30:00,5599.41
CAC,12/31/2020 17:30:00,5551.41
CAC,1/4/2021 17:30:00,5588.96
CAC,1/5/2021 17:30:00,5564.6
CAC,1/6/2021 17:30:00,5630.6
CAC,1/7/2021 17:30:00,5669.85
CAC,1/8/2021 17:30:00,5706.88
CAC,1/11/2021 17:30:00,5662.43
CAC,1/12/2021 17:30:00,5650.97
CAC,1/13/2021 17:30:00,5662.67
CAC,1/14/2021 17:30:00,5681.14
MDAX,10/15/2020 20:00:00,27462.63
MDAX,10/16/2020 20:00:00,27765.2
MDAX,10/19/2020 20:00:00,27815.35
MDAX,10/20/2020 20:00:00,27692.89
MDAX,10/21/2020 20:00:00,27165.35
MDAX,10/22/2020 20:00:00,27189.17
MDAX,10/23/2020 20:00:00,27279.59
MDAX,10/26/2020 20:00:00,26703.58
MDAX,10/27/2020 20:00:00,26604.78
MDAX,10/28/2020 20:00:00,25884.13
MDAX,10/29/2020 20:00:00,25801.82
MDAX,10/30/2020 20:00:00,25721
MDAX,11/2/2020 20:00:00,26079.23
MDAX,11/3/2020 20:00:00,26571.82
MDAX,11/4/2020 20:00:00,27241.37
MDAX,11/5/2020 20:00:00,27498.94
MDAX,11/6/2020 20:00:00,27346.29
MDAX,11/9/2020 20:00:00,27793.97
MDAX,11/10/2020 20:00:00,27984.82
