Date,"('Close', 'CAC')","('Close', 'FTSE')","('Close', 'MDAX')","('Close', 'SP500')","('Close', 'TOPIX')",score_headline,anger_headline,disgust_headline,fear_headline,joy_headline,sadness_headline,score_lead_par,anger_lead_par,disgust_lead_par,fear_lead_par,joy_lead_par,sadness_lead_par,emotion_headline_negative,emotion_lead_par_negative,emotion_lead_par_positive
2020-10-16,4935.86,5919.58,27765.2,3483.81,1617.69,-0.48629300000000003,0.23238499999999998,0.498824,0.062049,0.57543,0.45642299999999997,-0.45875299999999997,0.134218,0.182121,0.11165499999999999,0.5401560000000001,0.5465770000000001,1,1,0
2020-10-19,4929.27,5884.65,27815.35,3426.92,1637.98,-0.6956220000000001,0.564387,0.564141,0.07514,0.16608299999999998,0.487874,-0.406186,0.48561800000000005,0.44684700000000005,0.097647,0.52635,0.528911,1,1,0
2020-10-20,4929.28,5889.22,27692.89,3443.12,1625.74,-0.529668,0.598165,0.278106,0.10994200000000001,0.52551,0.20621599999999998,-0.337775,0.47101000000000004,0.189398,0.11523299999999999,0.549269,0.520048,1,1,0
2020-10-21,4853.95,5776.5,27165.35,3435.56,1637.6,-0.701941,0.6140770000000001,0.474541,0.080264,0.102332,0.551506,-0.461309,0.17310699999999998,0.48475,0.533805,0.528012,0.500254,1,1,0
2020-10-22,4851.38,5785.65,27189.17,3453.49,1619.79,-0.5800069999999999,0.489271,0.264428,0.092988,0.19049000000000002,0.132476,-0.624506,0.161651,0.149247,0.120754,0.501384,0.514247,1,1,0
2020-10-23,4909.64,5860.28,27279.59,3465.39,1625.32,-0.610665,0.259983,0.61652,0.105625,0.46545600000000004,0.516171,-0.379098,0.16029300000000002,0.13839100000000001,0.141908,0.5403140000000001,0.48354600000000003,1,1,0
2020-10-26,4816.12,5792.01,26703.58,3400.97,1618.98,-0.559304,0.497061,0.486212,0.5588029999999999,0.6049260000000001,0.12608,0.259067,0.13809000000000002,0.134508,0.106027,0.563448,0.5006689999999999,1,0,1
2020-10-27,4730.66,5728.99,26604.78,3390.68,1617.53,-0.51962,0.578978,0.5531550000000001,0.072965,0.13305899999999998,0.472517,-0.406618,0.169989,0.176564,0.106452,0.550747,0.509584,1,1,0
2020-10-28,4571.12,5582.8,25884.13,3271.03,1612.55,-0.695259,0.528185,0.529447,0.050088,0.199771,0.26205300000000004,-0.5039279999999999,0.179356,0.198051,0.14738800000000002,0.481767,0.542503,1,1,0
2020-10-29,4569.67,5581.75,25801.82,3310.11,1610.93,-0.673235,0.531676,0.28568499999999997,0.48628999999999994,0.683746,0.197012,-0.550823,0.49539399999999995,0.16166,0.132149,0.517759,0.5253680000000001,1,1,0
2020-10-30,4594.24,5577.27,25721.0,3269.96,1579.33,-0.613688,0.252515,0.226831,0.13866199999999998,0.543743,0.23107399999999997,-0.44480200000000003,0.16153499999999998,0.15426900000000002,0.11363800000000002,0.515736,0.548124,1,1,0
2020-11-02,4691.14,5654.97,26079.23,3310.24,1607.95,-0.639594,0.42589899999999997,0.402382,5e-05,0.33271100000000003,0.00198,-0.46036400000000005,0.150828,0.171682,0.143232,0.496424,0.518791,1,1,0
2020-11-04,4922.85,5883.26,27241.37,3443.44,1627.25,-0.577512,0.462309,0.553473,0.05129500000000001,0.235927,0.178794,-0.28208099999999997,0.165399,0.229852,0.116271,0.561232,0.48680100000000004,1,1,0
2020-11-05,4983.99,5906.18,27498.94,3510.45,1649.94,-0.765558,0.458512,0.414024,0.000466,0.32394,0.003868,-0.43634799999999996,0.162231,0.450718,0.12407,0.557855,0.527574,1,1,0
2020-11-06,4960.88,5910.02,27346.29,3509.44,1658.49,-0.635758,0.5552560000000001,0.21446300000000001,0.11222599999999999,0.5960529999999999,0.51832,-0.504575,0.19531300000000001,0.18146400000000001,0.137509,0.502969,0.567488,1,1,0
2020-11-09,5336.32,6186.29,27793.97,3550.5,1681.9,-0.455204,0.456596,0.27965100000000004,0.000268,0.390627,0.0033060000000000003,0.283423,0.162899,0.43791599999999997,0.08845499999999999,0.562132,0.503938,1,0,1
2020-11-10,5418.97,6296.85,27984.82,3545.53,1700.8,-0.558006,0.470371,0.321642,0.00014199999999999998,0.360744,0.000687,-0.40955,0.16283,0.145182,0.114179,0.534562,0.550067,1,1,0
2020-11-11,5445.21,6382.1,28408.82,3572.66,1729.07,-0.748983,0.562145,0.277974,0.06313400000000001,0.581022,0.534488,-0.46711099999999994,0.163597,0.433947,0.10553599999999999,0.542095,0.530452,1,1,0
2020-11-12,5362.57,6338.94,28334.02,3537.01,1726.23,-0.630683,0.5092270000000001,0.134507,0.06941699999999999,0.543908,0.559982,-0.38707600000000003,0.198242,0.424749,0.12188399999999999,0.523784,0.516516,1,1,0
2020-11-13,5380.16,6316.39,28512.96,3585.15,1703.22,-0.687979,0.46360500000000004,0.352554,0.001036,0.357957,0.000997,-0.505927,0.189443,0.16310999999999998,0.123875,0.5657270000000001,0.264371,1,1,0
2020-11-16,5471.48,6421.29,28732.11,3626.91,1731.81,-0.493033,0.383914,0.29291799999999996,0.000746,0.415814,0.043268,-0.523934,0.19084600000000002,0.166055,0.118046,0.514295,0.532767,1,1,0
2020-11-17,5483.0,6365.33,28650.69,3609.53,1734.66,-0.47598,0.530505,0.5243680000000001,0.068425,0.5235569999999999,0.18104,-0.278429,0.186106,0.468135,0.406065,0.510927,0.47754300000000005,1,1,0
2020-11-18,5511.45,6385.24,28799.05,3567.79,1720.65,-0.601758,0.43928199999999995,0.419804,0.00011,0.32650500000000005,0.001627,-0.509419,0.44505900000000004,0.46625,0.136106,0.532311,0.516365,1,1,0
2020-11-19,5474.66,6334.35,28745.5,3581.87,1726.41,-0.709687,0.46741499999999997,0.412975,0.000133,0.32045,0.001149,-0.404552,0.174874,0.445921,0.150911,0.5404359999999999,0.525195,1,1,0
2020-11-20,5495.89,6351.45,28998.47,3557.54,1727.39,-0.791609,0.244315,0.22900900000000002,0.055962,0.279104,0.172496,-0.447693,0.46571999999999997,0.156397,0.08459,0.576005,0.520798,1,1,0
2020-11-24,5558.42,6432.17,29029.42,3635.41,1762.4,-0.49949899999999997,0.434832,0.301306,7.3e-05,0.389832,0.001074,-0.471801,0.44840699999999994,0.13682,0.165037,0.49153900000000006,0.487446,1,1,0
2020-11-25,5571.29,6391.09,29029.48,3629.65,1767.67,-0.719094,0.45892,0.374818,0.0021550000000000002,0.34661,0.009299,-0.689442,0.17377599999999999,0.10924400000000001,0.5875279999999999,0.5110140000000001,0.559883,1,1,0
2020-11-27,5598.18,6367.58,29374.63,3638.35,1786.52,-0.671437,0.29992800000000003,0.520655,0.10653399999999999,0.473999,0.287725,-0.355174,0.11854100000000001,0.448878,0.555128,0.580268,0.265473,1,1,0
2020-11-30,5518.55,6266.19,29301.46,3621.63,1754.92,-0.6229180000000001,0.43008100000000005,0.361014,8.4e-05,0.354155,0.001263,-0.5168689999999999,0.16929,0.17993599999999998,0.104619,0.5085770000000001,0.487579,1,1,0
2020-12-01,5581.64,6384.73,29352.27,3662.45,1768.38,-0.502204,0.40724499999999997,0.303149,0.0024100000000000002,0.396825,0.042831,-0.48384799999999994,0.14039100000000002,0.142192,0.118296,0.56017,0.538466,1,1,0
2020-12-02,5583.01,6463.39,29242.44,3669.01,1773.97,-0.27878800000000004,0.229187,0.5498529999999999,0.214135,0.523329,0.20468599999999998,0.26549,0.125564,0.113694,0.11931800000000001,0.6077670000000001,0.500405,1,0,1
2020-12-03,5574.36,6490.27,29287.18,3666.72,1775.25,-0.685546,0.567869,0.265931,0.081884,0.490883,0.188844,-0.43649399999999994,0.491274,0.176288,0.084123,0.524259,0.564785,1,1,0
2020-12-04,5609.15,6550.23,29517.75,3699.12,1775.94,-0.668741,0.219111,0.11113900000000002,0.13197,0.575375,0.63885,-0.410945,0.117346,0.172459,0.142245,0.470746,0.597144,1,1,0
2020-12-07,5573.38,6555.39,29474.44,3691.96,1760.75,-0.689604,0.459672,0.416024,7.099999999999999e-05,0.327346,0.002064,-0.29029,0.175464,0.13126600000000002,0.10120499999999999,0.552064,0.5454140000000001,1,1,0
2020-12-08,5560.67,6558.82,29653.86,3702.25,1758.81,-0.295193,0.467949,0.14066099999999998,0.036055000000000004,0.660289,0.12023199999999999,-0.365929,0.186637,0.183498,0.115192,0.542041,0.566606,1,1,0
2020-12-09,5546.82,6564.29,29620.95,3672.82,1779.42,-0.710625,0.45764,0.376731,0.00011399999999999999,0.34529899999999997,0.000753,-0.42170799999999997,0.5334439999999999,0.15099400000000002,0.143809,0.577248,0.254349,1,1,0
2020-12-10,5549.65,6599.76,29689.13,3668.1,1776.21,-0.587821,0.617103,0.22383499999999998,0.093801,0.5141180000000001,0.569724,-0.5450699999999999,0.16187200000000002,0.118781,0.11664000000000001,0.506868,0.5747909999999999,1,1,0
2020-12-11,5507.55,6546.75,29608.5,3663.46,1782.01,-0.6661,0.53294,0.359483,0.005915,0.250633,0.070528,-0.397201,0.179806,0.108945,0.108928,0.549505,0.5283100000000001,1,1,0
2020-12-14,5527.84,6531.83,29727.59,3647.49,1790.52,-0.6419630000000001,0.457226,0.21679,0.000362,0.425237,0.017048,-0.525094,0.16733900000000002,0.15629300000000002,0.137481,0.52328,0.5536760000000001,1,1,0
2020-12-15,5530.31,6513.32,29743.89,3694.62,1782.05,-0.767061,0.44126400000000005,0.43362799999999996,3.7e-05,0.320931,0.001542,-0.468079,0.178547,0.15068099999999998,0.112909,0.519367,0.5296649999999999,1,1,0
2020-12-16,5547.68,6570.91,29974.13,3701.17,1786.83,-0.711356,0.430317,0.43086,0.000295,0.324889,0.0024100000000000002,-0.533586,0.198928,0.44669200000000003,0.100142,0.614529,0.62926,1,1,0
2020-12-17,5549.46,6551.06,30205.17,3722.48,1792.58,-0.610839,0.450977,0.36206,0.0015279999999999998,0.361892,0.008847,-0.594418,0.213741,0.184879,0.12986199999999998,0.208984,0.5616,1,1,0
2020-12-18,5527.84,6529.18,30405.62,3709.41,1793.24,-0.455744,0.48839899999999997,0.317875,9.2e-05,0.36743899999999996,0.002263,-0.407008,0.14007,0.16034500000000002,0.105368,0.577875,0.533215,1,1,0
2020-12-21,5393.34,6416.32,29866.47,3694.92,1789.05,-0.471779,0.452504,0.433087,0.012564,0.310852,0.001713,-0.473797,0.405879,0.416471,0.539327,0.5420550000000001,0.5601010000000001,1,1,0
